339,NTAP
340,NFLX
341,NWL
342,NEM
343,NWSA
344,NWS
345,NEE
346,NLSN
347,NKE
348,NI
349,NBL
350,JWN
351,NSC
352,NTRS
353,NOC
354,NCLH
355,NRG
356,NUE
357,NVDA
358,ORLY
359,OXY
360,OMC
361,OKE
362,ORCL
363,PCAR
364,PKG
365,PH
366,PAYX
367,PYPL
368,PNR
369,PBCT
370,PEP
371,PKI
372,PRGO
373,PFE
374,PM
375,PSX
376,PNW
377,PXD
378,PNC
379,PPG
380,PPL
381,PFG
382,PG
383,PGR
384,PLD
385,PRU
386,PEG
387,PSA
388,PHM
389,PVH
390,QRVO
391,PWR
392,QCOM
393,DGX
394,RL
395,RJF
396,RTN
397,O
398,REG
399,REGN
400,RF
401,RSG
402,RMD
403,RHI
404,ROK
405,ROL
406,ROP
407,ROST
408,RCL
409,CRM
410,SBAC
411,SLB
412,STX
413,SEE
414,SRE
415,SHW
416,SPG
417,SWKS
418,SLG
419,SNA
420,SO
421,LUV
422,SPGI
423,SWK
424,SBUX
425,STT
426,SYK
427,STI
428,SIVB
429,SYMC
430,SYF
431,SNPS
432,SYY
433,TMUS
434,TROW
435,TTWO
436,TPR
437,TGT
438,TEL
439,FTI
440,TFX
441,TXN
442,TXT
443,TMO
444,TIF
445,TWTR
446,TJX
447,TMK
448,TSS
449,TSCO
450,TDG
451,TRV
452,TRIP
453,TSN
454,UDR
455,ULTA
456,USB
457,UAA
458,UA
459,UNP
460,UAL
461,UNH
462,UPS
463,URI
464,UTX
465,UHS
466,UNM
467,VFC
468,VLO
469,VAR
470,VTR
471,VRSN
472,VRSK
473,VZ
474,VRTX
475,VIAB
476,V
477,VNO
478,VMC
479,WAB
480,WMT
481,WBA
482,DIS
483,WM
484,WAT
485,WEC
486,WCG
487,WFC
488,WELL
489,WDC
490,WU
491,WRK
492,WY
493,WHR
494,WMB
495,WLTW
496,WYNN
497,XEL
498,XRX
499,XLNX
500,XYL
501,YUM
502,ZBH
503,ZION
504,ZTS
